LOCATION,Country,Indicator,Unit,Value
CHL,Chile,Long-term unemployment rate,Percentage,1.46
EST,Estonia,Long-term unemployment rate,Percentage,12.05
ISR,Israel,Long-term unemployment rate,Percentage,1.41
RUS,Russia,Long-term unemployment rate,Percentage,3.9
SVN,Slovenia,Long-term unemployment rate,Percentage,7.47
AUS,Australia,Personal earnings,US Dollar,46585
AUT,Austria,Personal earnings,US Dollar,43837
BEL,Belgium,Personal earnings,US Dollar,47276
CAN,Canada,Personal earnings,US Dollar,44017
CZE,Czech Republic,Personal earnings,US Dollar,20645
DNK,Denmark,Personal earnings,US Dollar,45642
FIN,Finland,Personal earnings,US Dollar,38976
FRA,France,Personal earnings,US Dollar,38625
DEU,Germany,Personal earnings,US Dollar,41782
GRC,Greece,Personal earnings,US Dollar,27434
HUN,Hungary,Personal earnings,US Dollar,20514
ISL,Iceland,Personal earnings,US Dollar,39433
IRL,Ireland,Personal earnings,US Dollar,50853
ITA,Italy,Personal earnings,US Dollar,33571
JPN,Japan,Personal earnings,US Dollar,36039
KOR,Korea,Personal earnings,US Dollar,34056
LUX,Luxembourg,Personal earnings,US Dollar,52542
MEX,Mexico,Personal earnings,US Dollar,14653
NLD,Netherlands,Personal earnings,US Dollar,45362
NZL,New Zealand,Personal earnings,US Dollar,31394
NOR,Norway,Personal earnings,US Dollar,46618
POL,Poland,Personal earnings,US Dollar,21140
PRT,Portugal,Personal earnings,US Dollar,23419
SVK,Slovak Republic,Personal earnings,US Dollar,20428
ESP,Spain,Personal earnings,US Dollar,34747
SWE,Sweden,Personal earnings,US Dollar,38789
CHE,Switzerland,Personal earnings,US Dollar,52307
TUR,Turkey,Personal earnings,US Dollar,17460
GBR,United Kingdom,Personal earnings,US Dollar,40649
USA,United States,Personal earnings,US Dollar,54214
BRA,Brazil,Personal earnings,US Dollar,7909
CHL,Chile,Personal earnings,US Dollar,15438
EST,Estonia,Personal earnings,US Dollar,17488
ISR,Israel,Personal earnings,US Dollar,27577
RUS,Russia,Personal earnings,US Dollar,21311
SVN,Slovenia,Personal earnings,US Dollar,33040
AUS,Australia,Personal earnings,US Dollar,50084
AUT,Austria,Personal earnings,US Dollar,47785
BEL,Belgium,Personal earnings,US Dollar,48253
CAN,Canada,Personal earnings,US Dollar,47796
CZE,Czech Republic,Personal earnings,US Dollar,22905
DNK,Denmark,Personal earnings,US Dollar,47967
FIN,Finland,Personal earnings,US Dollar,43731
FRA,France,Personal earnings,US Dollar,41915
DEU,Germany,Personal earnings,US Dollar,44767
GRC,Greece,Personal earnings,US Dollar,28790
HUN,Hungary,Personal earnings,US Dollar,22280
ISL,Iceland,Personal earnings,US Dollar,44075
IRL,Ireland,Personal earnings,US Dollar,55238
ITA,Italy,Personal earnings,US Dollar,35272
JPN,Japan,Personal earnings,US Dollar,39864
KOR,Korea,Personal earnings,US Dollar,38690
LUX,Luxembourg,Personal earnings,US Dollar,54204
MEX,Mexico,Personal earnings,US Dollar,15720
NLD,Netherlands,Personal earnings,US Dollar,46907
NZL,New Zealand,Personal earnings,US Dollar,32966
NOR,Norway,Personal earnings,US Dollar,49921
POL,Poland,Personal earnings,US Dollar,21462
PRT,Portugal,Personal earnings,US Dollar,24131
SVK,Slovak Republic,Personal earnings,US Dollar,22780
ESP,Spain,Personal earnings,US Dollar,35884
SWE,Sweden,Personal earnings,US Dollar,42599
CHE,Switzerland,Personal earnings,US Dollar,56232
TUR,Turkey,Personal earnings,US Dollar,17410
GBR,United Kingdom,Personal earnings,US Dollar,44391
USA,United States,Personal earnings,US Dollar,59807
BRA,Brazil,Personal earnings,US Dollar,8477
CHL,Chile,Personal earnings,US Dollar,16200
EST,Estonia,Personal earnings,US Dollar,20193
ISR,Israel,Personal earnings,US Dollar,31023
RUS,Russia,Personal earnings,US Dollar,22877
SVN,Slovenia,Personal earnings,US Dollar,34290
AUS,Australia,Personal earnings,US Dollar,40338
AUT,Austria,Personal earnings,US Dollar,36529
BEL,Belgium,Personal earnings,US Dollar,44358
CAN,Canada,Personal earnings,US Dollar,39474
CZE,Czech Republic,Personal earnings,US Dollar,17831
DNK,Denmark,Personal earnings,US Dollar,41429
FIN,Finland,Personal earnings,US Dollar,34048
FRA,France,Personal earnings,US Dollar,33814
DEU,Germany,Personal earnings,US Dollar,36523
GRC,Greece,Personal earnings,US Dollar,25596
HUN,Hungary,Personal earnings,US Dollar,18644
ISL,Iceland,Personal earnings,US Dollar,33823
IRL,Ireland,Personal earnings,US Dollar,42365
ITA,Italy,Personal earnings,US Dollar,30896
JPN,Japan,Personal earnings,US Dollar,28158
KOR,Korea,Personal earnings,US Dollar,24773
LUX,Luxembourg,Personal earnings,US Dollar,46684
MEX,Mexico,Personal earnings,US Dollar,13275
NLD,Netherlands,Personal earnings,US Dollar,37435
NZL,New Zealand,Personal earnings,US Dollar,29195
NOR,Norway,Personal earnings,US Dollar,42580
POL,Poland,Personal earnings,US Dollar,20769
PRT,Portugal,Personal earnings,US Dollar,22615
SVK,Slovak Republic,Personal earnings,US Dollar,17684
ESP,Spain,Personal earnings,US Dollar,33128
SWE,Sweden,Personal earnings,US Dollar,34027
CHE,Switzerland,Personal earnings,US Dollar,45399
TUR,Turkey,Personal earnings,US Dollar,16373
GBR,United Kingdom,Personal earnings,US Dollar,34757
USA,United States,Personal earnings,US Dollar,47156
BRA,Brazil,Personal earnings,US Dollar,7316
CHL,Chile,Personal earnings,US Dollar,14080
EST,Estonia,Personal earnings,US Dollar,14264
ISR,Israel,Personal earnings,US Dollar,22773
RUS,Russia,Personal earnings,US Dollar,19064
SVN,Slovenia,Personal earnings,US Dollar,30933
AUS,Australia,Personal earnings,US Dollar,60686
AUT,Austria,Personal earnings,US Dollar,56023
BEL,Belgium,Personal earnings,US Dollar,57436
CAN,Canada,Personal earnings,US Dollar,60751
CZE,Czech Republic,Personal earnings,US Dollar,25557
DNK,Denmark,Personal earnings,US Dollar,53798
FIN,Finland,Personal earnings,US Dollar,48082
FRA,France,Personal earnings,US Dollar,49091
DEU,Germany,Personal earnings,US Dollar,53941
GRC,Greece,Personal earnings,US Dollar,34036
HUN,Hungary,Personal earnings,US Dollar,25820
ISL,Iceland,Personal earnings,US Dollar,49099
IRL,Ireland,Personal earnings,US Dollar,75064
ITA,Italy,Personal earnings,US Dollar,40110
JPN,Japan,Personal earnings,US Dollar,46311
KOR,Korea,Personal earnings,US Dollar,48487
LUX,Luxembourg,Personal earnings,US Dollar,67314
MEX,Mexico,Personal earnings,US Dollar,18640
NLD,Netherlands,Personal earnings,US Dollar,56879
NZL,New Zealand,Personal earnings,US Dollar,40041
NOR,Norway,Personal earnings,US Dollar,51634
POL,Poland,Personal earnings,US Dollar,27498
PRT,Portugal,Personal earnings,US Dollar,30883
SVK,Slovak Republic,Personal earnings,US Dollar,24555
ESP,Spain,Personal earnings,US Dollar,46387
SWE,Sweden,Personal earnings,US Dollar,49299
CHE,Switzerland,Personal earnings,US Dollar,60669
TUR,Turkey,Personal earnings,US Dollar,23035
GBR,United Kingdom,Personal earnings,US Dollar,51888
USA,United States,Personal earnings,US Dollar,70619
BRA,Brazil,Personal earnings,US Dollar,10067
CHL,Chile,Personal earnings,US Dollar,18461
EST,Estonia,Personal earnings,US Dollar,22908
ISR,Israel,Personal earnings,US Dollar,37793
RUS,Russia,Personal earnings,US Dollar,27099
SVN,Slovenia,Personal earnings,US Dollar,40954
AUS,Australia,Personal earnings,US Dollar,27273
AUT,Austria,Personal earnings,US Dollar,26167
BEL,Belgium,Personal earnings,US Dollar,32554
CAN,Canada,Personal earnings,US Dollar,25572
CZE,Czech Republic,Personal earnings,US Dollar,11700
DNK,Denmark,Personal earnings,US Dollar,27841
FIN,Finland,Personal earnings,US Dollar,26057
FRA,France,Personal earnings,US Dollar,22796
DEU,Germany,Personal earnings,US Dollar,25618
GRC,Greece,Personal earnings,US Dollar,17450
HUN,Hungary,Personal earnings,US Dollar,10126
ISL,Iceland,Personal earnings,US Dollar,24831
IRL,Ireland,Personal earnings,US Dollar,30968
ITA,Italy,Personal earnings,US Dollar,24018
JPN,Japan,Personal earnings,US Dollar,22718
KOR,Korea,Personal earnings,US Dollar,16793
LUX,Luxembourg,Personal earnings,US Dollar,31204
MEX,Mexico,Personal earnings,US Dollar,7219
NLD,Netherlands,Personal earnings,US Dollar,29242
NZL,New Zealand,Personal earnings,US Dollar,19615
NOR,Norway,Personal earnings,US Dollar,32180
POL,Poland,Personal earnings,US Dollar,11458
PRT,Portugal,Personal earnings,US Dollar,12460
SVK,Slovak Republic,Personal earnings,US Dollar,10712
ESP,Spain,Personal earnings,US Dollar,21235
SWE,Sweden,Personal earnings,US Dollar,22911
CHE,Switzerland,Personal earnings,US Dollar,32467
TUR,Turkey,Personal earnings,US Dollar,7334
GBR,United Kingdom,Personal earnings,US Dollar,22080
USA,United States,Personal earnings,US Dollar,23975
BRA,Brazil,Personal earnings,US Dollar,3474
CHL,Chile,Personal earnings,US Dollar,7384
EST,Estonia,Personal earnings,US Dollar,9237
ISR,Israel,Personal earnings,US Dollar,13115
RUS,Russia,Personal earnings,US Dollar,11258
SVN,Slovenia,Personal earnings,US Dollar,18872
AUS,Australia,Quality of support network,Percentage,93
AUT,Austria,Quality of support network,Percentage,95
BEL,Belgium,Quality of support network,Percentage,91
CAN,Canada,Quality of support network,Percentage,94
CZE,Czech Republic,Quality of support network,Percentage,87
DNK,Denmark,Quality of support network,Percentage,96
FIN,Finland,Quality of support network,Percentage,93
FRA,France,Quality of support network,Percentage,91
DEU,Germany,Quality of support network,Percentage,93
GRC,Greece,Quality of support network,Percentage,68
HUN,Hungary,Quality of support network,Percentage,87
ISL,Iceland,Quality of support network,Percentage,96
IRL,Ireland,Quality of support network,Percentage,95
ITA,Italy,Quality of support network,Percentage,91
JPN,Japan,Quality of support network,Percentage,90
KOR,Korea,Quality of support network,Percentage,77
LUX,Luxembourg,Quality of support network,Percentage,88
MEX,Mexico,Quality of support network,Percentage,74
NLD,Netherlands,Quality of support network,Percentage,92
NZL,New Zealand,Quality of support network,Percentage,96
NOR,Norway,Quality of support network,Percentage,93
POL,Poland,Quality of support network,Percentage,89
PRT,Portugal,Quality of support network,Percentage,85
SVK,Slovak Republic,Quality of support network,Percentage,88
ESP,Spain,Quality of support network,Percentage,92
SWE,Sweden,Quality of support network,Percentage,91
CHE,Switzerland,Quality of support network,Percentage,94
TUR,Turkey,Quality of support network,Percentage,79
GBR,United Kingdom,Quality of support network,Percentage,94
USA,United States,Quality of support network,Percentage,90
BRA,Brazil,Quality of support network,Percentage,90
CHL,Chile,Quality of support network,Percentage,85
EST,Estonia,Quality of support network,Percentage,89
ISR,Israel,Quality of support network,Percentage,89
RUS,Russia,Quality of support network,Percentage,84
SVN,Slovenia,Quality of support network,Percentage,93
AUS,Australia,Quality of support network,Percentage,92
AUT,Austria,Quality of support network,Percentage,94
BEL,Belgium,Quality of support network,Percentage,91
CAN,Canada,Quality of support network,Percentage,92
CZE,Czech Republic,Quality of support network,Percentage,85
DNK,Denmark,Quality of support network,Percentage,94
FIN,Finland,Quality of support network,Percentage,92
FRA,France,Quality of support network,Percentage,89
DEU,Germany,Quality of support network,Percentage,93
GRC,Greece,Quality of support network,Percentage,68
HUN,Hungary,Quality of support network,Percentage,87
ISL,Iceland,Quality of support network,Percentage,95
IRL,Ireland,Quality of support network,Percentage,95
ITA,Italy,Quality of support network,Percentage,91
JPN,Japan,Quality of support network,Percentage,90
KOR,Korea,Quality of support network,Percentage,74
LUX,Luxembourg,Quality of support network,Percentage,85
MEX,Mexico,Quality of support network,Percentage,74
NLD,Netherlands,Quality of support network,Percentage,94
NZL,New Zealand,Quality of support network,Percentage,94
NOR,Norway,Quality of support network,Percentage,93
POL,Poland,Quality of support network,Percentage,89
PRT,Portugal,Quality of support network,Percentage,85
SVK,Slovak Republic,Quality of support network,Percentage,87
ESP,Spain,Quality of support network,Percentage,94
SWE,Sweden,Quality of support network,Percentage,89
CHE,Switzerland,Quality of support network,Percentage,93
TUR,Turkey,Quality of support network,Percentage,78
GBR,United Kingdom,Quality of support network,Percentage,95
USA,United States,Quality of support network,Percentage,88
BRA,Brazil,Quality of support network,Percentage,91
CHL,Chile,Quality of support network,Percentage,86
EST,Estonia,Quality of support network,Percentage,89
ISR,Israel,Quality of support network,Percentage,89
RUS,Russia,Quality of support network,Percentage,85
SVN,Slovenia,Quality of support network,Percentage,94
AUS,Australia,Quality of support network,Percentage,94
AUT,Austria,Quality of support network,Percentage,95
BEL,Belgium,Quality of support network,Percentage,91
CAN,Canada,Quality of support network,Percentage,95
CZE,Czech Republic,Quality of support network,Percentage,88
DNK,Denmark,Quality of support network,Percentage,97
FIN,Finland,Quality of support network,Percentage,94
FRA,France,Quality of support network,Percentage,92
DEU,Germany,Quality of support network,Percentage,92
GRC,Greece,Quality of support network,Percentage,68
HUN,Hungary,Quality of support network,Percentage,87
ISL,Iceland,Quality of support network,Percentage,96
IRL,Ireland,Quality of support network,Percentage,95
ITA,Italy,Quality of support network,Percentage,92
JPN,Japan,Quality of support network,Percentage,90
KOR,Korea,Quality of support network,Percentage,79
LUX,Luxembourg,Quality of support network,Percentage,92
MEX,Mexico,Quality of support network,Percentage,74
NLD,Netherlands,Quality of support network,Percentage,89
NZL,New Zealand,Quality of support network,Percentage,97
NOR,Norway,Quality of support network,Percentage,93
POL,Poland,Quality of support network,Percentage,90
PRT,Portugal,Quality of support network,Percentage,85
SVK,Slovak Republic,Quality of support network,Percentage,89
ESP,Spain,Quality of support network,Percentage,90
SWE,Sweden,Quality of support network,Percentage,92
CHE,Switzerland,Quality of support network,Percentage,96
TUR,Turkey,Quality of support network,Percentage,80
GBR,United Kingdom,Quality of support network,Percentage,92
USA,United States,Quality of support network,Percentage,92
BRA,Brazil,Quality of support network,Percentage,89
CHL,Chile,Quality of support network,Percentage,85
EST,Estonia,Quality of support network,Percentage,88
ISR,Israel,Quality of support network,Percentage,90
RUS,Russia,Quality of support network,Percentage,83
SVN,Slovenia,Quality of support network,Percentage,92
AUS,Australia,Quality of support network,Percentage,94
AUT,Austria,Quality of support network,Percentage,97
BEL,Belgium,Quality of support network,Percentage,92
CAN,Canada,Quality of support network,Percentage,94
CZE,Czech Republic,Quality of support network,Percentage,90
DNK,Denmark,Quality of support network,Percentage,97
FIN,Finland,Quality of support network,Percentage,96
FRA,France,Quality of support network,Percentage,93
DEU,Germany,Quality of support network,Percentage,94
GRC,Greece,Quality of support network,Percentage,77
HUN,Hungary,Quality of support network,Percentage,92
ISL,Iceland,Quality of support network,Percentage,96
IRL,Ireland,Quality of support network,Percentage,97
ITA,Italy,Quality of support network,Percentage,93
JPN,Japan,Quality of support network,Percentage,93
KOR,Korea,Quality of support network,Percentage,82
LUX,Luxembourg,Quality of support network,Percentage,94
MEX,Mexico,Quality of support network,Percentage,78
NLD,Netherlands,Quality of support network,Percentage,93
NZL,New Zealand,Quality of support network,Percentage,96
NOR,Norway,Quality of support network,Percentage,94
POL,Poland,Quality of support network,Percentage,94
PRT,Portugal,Quality of support network,Percentage,93
SVK,Slovak Republic,Quality of support network,Percentage,89
ESP,Spain,Quality of support network,Percentage,93
SWE,Sweden,Quality of support network,Percentage,91
CHE,Switzerland,Quality of support network,Percentage,95
TUR,Turkey,Quality of support network,Percentage,91
GBR,United Kingdom,Quality of support network,Percentage,96
USA,United States,Quality of support network,Percentage,96
BRA,Brazil,Quality of support network,Percentage,94
CHL,Chile,Quality of support network,Percentage,93
EST,Estonia,Quality of support network,Percentage,89
ISR,Israel,Quality of support network,Percentage,91
RUS,Russia,Quality of support network,Percentage,86
SVN,Slovenia,Quality of support network,Percentage,98
AUS,Australia,Quality of support network,Percentage,93
AUT,Austria,Quality of support network,Percentage,97
BEL,Belgium,Quality of support network,Percentage,88
CAN,Canada,Quality of support network,Percentage,97
CZE,Czech Republic,Quality of support network,Percentage,87
DNK,Denmark,Quality of support network,Percentage,90
FIN,Finland,Quality of support network,Percentage,89
FRA,France,Quality of support network,Percentage,88
DEU,Germany,Quality of support network,Percentage,87
GRC,Greece,Quality of support network,Percentage,60
HUN,Hungary,Quality of support network,Percentage,82
ISL,Iceland,Quality of support network,Percentage,97
IRL,Ireland,Quality of support network,Percentage,87
ITA,Italy,Quality of support network,Percentage,89
JPN,Japan,Quality of support network,Percentage,86
KOR,Korea,Quality of support network,Percentage,42
LUX,Luxembourg,Quality of support network,Percentage,86
MEX,Mexico,Quality of support network,Percentage,70
NLD,Netherlands,Quality of support network,Percentage,84
NZL,New Zealand,Quality of support network,Percentage,99
NOR,Norway,Quality of support network,Percentage,91
POL,Poland,Quality of support network,Percentage,91
PRT,Portugal,Quality of support network,Percentage,79
SVK,Slovak Republic,Quality of support network,Percentage,93
ESP,Spain,Quality of support network,Percentage,86
SWE,Sweden,Quality of support network,Percentage,82
CHE,Switzerland,Quality of support network,Percentage,95
TUR,Turkey,Quality of support network,Percentage,76
GBR,United Kingdom,Quality of support network,Percentage,85
USA,United States,Quality of support network,Percentage,84
BRA,Brazil,Quality of support network,Percentage,87
CHL,Chile,Quality of support network,Percentage,72
EST,Estonia,Quality of support network,Percentage,88
ISR,Israel,Quality of support network,Percentage,67
RUS,Russia,Quality of support network,Percentage,85
SVN,Slovenia,Quality of support network,Percentage,88
AUS,Australia,Educational attainment,Percentage,74
AUT,Austria,Educational attainment,Percentage,82
BEL,Belgium,Educational attainment,Percentage,71
CAN,Canada,Educational attainment,Percentage,89
CZE,Czech Republic,Educational attainment,Percentage,92
DNK,Denmark,Educational attainment,Percentage,77
FIN,Finland,Educational attainment,Percentage,84
FRA,France,Educational attainment,Percentage,72
DEU,Germany,Educational attainment,Percentage,86
GRC,Greece,Educational attainment,Percentage,67
HUN,Hungary,Educational attainment,Percentage,82
ISL,Iceland,Educational attainment,Percentage,71
IRL,Ireland,Educational attainment,Percentage,73
ITA,Italy,Educational attainment,Percentage,56
JPN,Japan,Educational attainment,Percentage,93
KOR,Korea,Educational attainment,Percentage,81
LUX,Luxembourg,Educational attainment,Percentage,77
MEX,Mexico,Educational attainment,Percentage,36
NLD,Netherlands,Educational attainment,Percentage,72
NZL,New Zealand,Educational attainment,Percentage,74
NOR,Norway,Educational attainment,Percentage,82
POL,Poland,Educational attainment,Percentage,89
PRT,Portugal,Educational attainment,Percentage,35
SVK,Slovak Republic,Educational attainment,Percentage,91
ESP,Spain,Educational attainment,Percentage,54
SWE,Sweden,Educational attainment,Percentage,87
CHE,Switzerland,Educational attainment,Percentage,86
TUR,Turkey,Educational attainment,Percentage,32
GBR,United Kingdom,Educational attainment,Percentage,77
USA,United States,Educational attainment,Percentage,89
BRA,Brazil,Educational attainment,Percentage,43
CHL,Chile,Educational attainment,Percentage,72
EST,Estonia,Educational attainment,Percentage,89
ISR,Israel,Educational attainment,Percentage,83
RUS,Russia,Educational attainment,Percentage,94
SVN,Slovenia,Educational attainment,Percentage,84
AUS,Australia,Educational attainment,Percentage,76
AUT,Austria,Educational attainment,Percentage,87
BEL,Belgium,Educational attainment,Percentage,71
CAN,Canada,Educational attainment,Percentage,88
CZE,Czech Republic,Educational attainment,Percentage,95
DNK,Denmark,Educational attainment,Percentage,77
FIN,Finland,Educational attainment,Percentage,81
FRA,France,Educational attainment,Percentage,73
DEU,Germany,Educational attainment,Percentage,89
GRC,Greece,Educational attainment,Percentage,67
HUN,Hungary,Educational attainment,Percentage,85
ISL,Iceland,Educational attainment,Percentage,73
IRL,Ireland,Educational attainment,Percentage,70
ITA,Italy,Educational attainment,Percentage,55
JPN,Japan,Educational attainment,Percentage,94
KOR,Korea,Educational attainment,Percentage,86
LUX,Luxembourg,Educational attainment,Percentage,79
MEX,Mexico,Educational attainment,Percentage,38
NLD,Netherlands,Educational attainment,Percentage,74
NZL,New Zealand,Educational attainment,Percentage,75
NOR,Norway,Educational attainment,Percentage,82
POL,Poland,Educational attainment,Percentage,89
PRT,Portugal,Educational attainment,Percentage,32
SVK,Slovak Republic,Educational attainment,Percentage,93
ESP,Spain,Educational attainment,Percentage,53
SWE,Sweden,Educational attainment,Percentage,86
CHE,Switzerland,Educational attainment,Percentage,89
TUR,Turkey,Educational attainment,Percentage,36
GBR,United Kingdom,Educational attainment,Percentage,79
USA,United States,Educational attainment,Percentage,88
BRA,Brazil,Educational attainment,Percentage,41
CHL,Chile,Educational attainment,Percentage,73
EST,Estonia,Educational attainment,Percentage,86
ISR,Israel,Educational attainment,Percentage,82
RUS,Russia,Educational attainment,Percentage,93
SVN,Slovenia,Educational attainment,Percentage,86
AUS,Australia,Educational attainment,Percentage,73
AUT,Austria,Educational attainment,Percentage,78
BEL,Belgium,Educational attainment,Percentage,72
CAN,Canada,Educational attainment,Percentage,90
CZE,Czech Republic,Educational attainment,Percentage,90
DNK,Denmark,Educational attainment,Percentage,77
FIN,Finland,Educational attainment,Percentage,86
FRA,France,Educational attainment,Percentage,71
DEU,Germany,Educational attainment,Percentage,84
GRC,Greece,Educational attainment,Percentage,67
HUN,Hungary,Educational attainment,Percentage,79
ISL,Iceland,Educational attainment,Percentage,68
IRL,Ireland,Educational attainment,Percentage,76
ITA,Italy,Educational attainment,Percentage,57
JPN,Japan,Educational attainment,Percentage,92
KOR,Korea,Educational attainment,Percentage,77
LUX,Luxembourg,Educational attainment,Percentage,75
MEX,Mexico,Educational attainment,Percentage,35
NLD,Netherlands,Educational attainment,Percentage,71
NZL,New Zealand,Educational attainment,Percentage,73
NOR,Norway,Educational attainment,Percentage,82
POL,Poland,Educational attainment,Percentage,89
PRT,Portugal,Educational attainment,Percentage,38
SVK,Slovak Republic,Educational attainment,Percentage,89
ESP,Spain,Educational attainment,Percentage,55
SWE,Sweden,Educational attainment,Percentage,89
CHE,Switzerland,Educational attainment,Percentage,83
TUR,Turkey,Educational attainment,Percentage,27
GBR,United Kingdom,Educational attainment,Percentage,74
USA,United States,Educational attainment,Percentage,90
BRA,Brazil,Educational attainment,Percentage,46
CHL,Chile,Educational attainment,Percentage,72
EST,Estonia,Educational attainment,Percentage,91
ISR,Israel,Educational attainment,Percentage,84
RUS,Russia,Educational attainment,Percentage,95
SVN,Slovenia,Educational attainment,Percentage,83
AUS,Australia,Student skills,Average score,514
AUT,Austria,Student skills,Average score,498
BEL,Belgium,Student skills,Average score,507
CAN,Canada,Student skills,Average score,522
CZE,Czech Republic,Student skills,Average score,496
DNK,Denmark,Student skills,Average score,500
FIN,Finland,Student skills,Average score,529
FRA,France,Student skills,Average score,499
DEU,Germany,Student skills,Average score,514
GRC,Greece,Student skills,Average score,468
HUN,Hungary,Student skills,Average score,486
ISL,Iceland,Student skills,Average score,486
IRL,Ireland,Student skills,Average score,518
ITA,Italy,Student skills,Average score,489
JPN,Japan,Student skills,Average score,538
KOR,Korea,Student skills,Average score,537
LUX,Luxembourg,Student skills,Average score,487
MEX,Mexico,Student skills,Average score,417
NLD,Netherlands,Student skills,Average score,522
NZL,New Zealand,Student skills,Average score,511
NOR,Norway,Student skills,Average score,498
POL,Poland,Student skills,Average score,520
PRT,Portugal,Student skills,Average score,488
SVK,Slovak Republic,Student skills,Average score,469
ESP,Spain,Student skills,Average score,490
SWE,Sweden,Student skills,Average score,484
CHE,Switzerland,Student skills,Average score,515
TUR,Turkey,Student skills,Average score,462
GBR,United Kingdom,Student skills,Average score,505
USA,United States,Student skills,Average score,494
BRA,Brazil,Student skills,Average score,406
CHL,Chile,Student skills,Average score,439
EST,Estonia,Student skills,Average score,523
ISR,Israel,Student skills,Average score,474
RUS,Russia,Student skills,Average score,475
SVN,Slovenia,Student skills,Average score,497
AUS,Australia,Student skills,Average score,510
AUT,Austria,Student skills,Average score,496
BEL,Belgium,Student skills,Average score,504
CAN,Canada,Student skills,Average score,518
CZE,Czech Republic,Student skills,Average score,492
DNK,Denmark,Student skills,Average score,499
FIN,Finland,Student skills,Average score,516
FRA,France,Student skills,Average score,491
DEU,Germany,Student skills,Average score,509
GRC,Greece,Student skills,Average score,458
HUN,Hungary,Student skills,Average score,481
ISL,Iceland,Student skills,Average score,475
IRL,Ireland,Student skills,Average score,516
ITA,Italy,Student skills,Average score,485
JPN,Japan,Student skills,Average score,538
KOR,Korea,Student skills,Average score,537
LUX,Luxembourg,Student skills,Average score,489
MEX,Mexico,Student skills,Average score,416
NLD,Netherlands,Student skills,Average score,519
NZL,New Zealand,Student skills,Average score,508
NOR,Norway,Student skills,Average score,490
POL,Poland,Student skills,Average score,513
PRT,Portugal,Student skills,Average score,483
SVK,Slovak Republic,Student skills,Average score,465
ESP,Spain,Student skills,Average score,490
SWE,Sweden,Student skills,Average score,474
CHE,Switzerland,Student skills,Average score,513
TUR,Turkey,Student skills,Average score,454
GBR,United Kingdom,Student skills,Average score,505
USA,United States,Student skills,Average score,489
BRA,Brazil,Student skills,Average score,403
CHL,Chile,Student skills,Average score,439
EST,Estonia,Student skills,Average score,516
ISR,Israel,Student skills,Average score,468
RUS,Russia,Student skills,Average score,466
SVN,Slovenia,Student skills,Average score,486
AUS,Australia,Student skills,Average score,518
AUT,Austria,Student skills,Average score,500
BEL,Belgium,Student skills,Average score,511
CAN,Canada,Student skills,Average score,526
CZE,Czech Republic,Student skills,Average score,501
DNK,Denmark,Student skills,Average score,501
FIN,Finland,Student skills,Average score,544
FRA,France,Student skills,Average score,506
DEU,Germany,Student skills,Average score,519
GRC,Greece,Student skills,Average score,478
HUN,Hungary,Student skills,Average score,491
ISL,Iceland,Student skills,Average score,496
IRL,Ireland,Student skills,Average score,520
ITA,Italy,Student skills,Average score,492
JPN,Japan,Student skills,Average score,538
KOR,Korea,Student skills,Average score,537
LUX,Luxembourg,Student skills,Average score,486
MEX,Mexico,Student skills,Average score,419
NLD,Netherlands,Student skills,Average score,524
NZL,New Zealand,Student skills,Average score,515
NOR,Norway,Student skills,Average score,507
POL,Poland,Student skills,Average score,527
PRT,Portugal,Student skills,Average score,493
SVK,Slovak Republic,Student skills,Average score,472
ESP,Spain,Student skills,Average score,491
SWE,Sweden,Student skills,Average score,494
CHE,Switzerland,Student skills,Average score,518
TUR,Turkey,Student skills,Average score,470
GBR,United Kingdom,Student skills,Average score,505
USA,United States,Student skills,Average score,500
BRA,Brazil,Student skills,Average score,408
CHL,Chile,Student skills,Average score,438
EST,Estonia,Student skills,Average score,529
ISR,Israel,Student skills,Average score,479
RUS,Russia,Student skills,Average score,483
SVN,Slovenia,Student skills,Average score,509
AUS,Australia,Student skills,Average score,559
AUT,Austria,Student skills,Average score,552
BEL,Belgium,Student skills,Average score,573
CAN,Canada,Student skills,Average score,562
CZE,Czech Republic,Student skills,Average score,553
DNK,Denmark,Student skills,Average score,547
FIN,Finland,Student skills,Average score,567
FRA,France,Student skills,Average score,570
DEU,Germany,Student skills,Average score,572
GRC,Greece,Student skills,Average score,518
HUN,Hungary,Student skills,Average score,549
ISL,Iceland,Student skills,Average score,518
IRL,Ireland,Student skills,Average score,565
ITA,Italy,Student skills,Average score,531
JPN,Japan,Student skills,Average score,578
KOR,Korea,Student skills,Average score,580
LUX,Luxembourg,Student skills,Average score,550
MEX,Mexico,Student skills,Average score,456
NLD,Netherlands,Student skills,Average score,564
NZL,New Zealand,Student skills,Average score,572
NOR,Norway,Student skills,Average score,530
POL,Poland,Student skills,Average score,575
PRT,Portugal,Student skills,Average score,550
SVK,Slovak Republic,Student skills,Average score,542
ESP,Spain,Student skills,Average score,539
SWE,Sweden,Student skills,Average score,527
CHE,Switzerland,Student skills,Average score,567
TUR,Turkey,Student skills,Average score,515
GBR,United Kingdom,Student skills,Average score,558
USA,United States,Student skills,Average score,547
BRA,Brazil,Student skills,Average score,449
CHL,Chile,Student skills,Average score,495
EST,Estonia,Student skills,Average score,566
ISR,Israel,Student skills,Average score,530
RUS,Russia,Student skills,Average score,524
SVN,Slovenia,Student skills,Average score,554
